uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
36,56ee27ad65ca4d000cc39dd3,branning,2,4,2,ta,right,2_4,4240,10,323,36,asking,0,80,124.05699442806409,1.156426329321981,7.595174071904597,2.4743972504579332,3.630823579779914,-0.27380732844801514,0.8826190008739658,0.5325810728065254,98.47383802129995,0.6700197044418106,8.473838021299958,0.6517290768004064,1.403844227645579,1.557785842564689,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,5.777652323222656
37,56ee27ad65ca4d000cc39dd3,greenview,4,2,2,ta,left,4_2,4705,18,621,37,telling,1,100,81.1346582583131,-0.5092793542503813,-3.6193172800569147,3.0151029340302955,2.505823579779914,0.2668983551243471,-0.24238099912603417,0.48336382875014855,87.31973185690617,0.5817943472093181,-2.6802681430938184,0.5870377391543073,-0.5651227350353776,-0.5234076163462168,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.431331081933479
38,56ee27ad65ca4d000cc39dd3,bronville,2,3,2,ta,right,2_3,4318,50,1119,38,asking,0,80,102.02442198493041,0.593926329321981,4.210111583741802,2.4743972504579332,3.068323579779914,-0.27380732844801514,0.32011900087396583,0.5461563254839158,89.0533754734912,0.5508261209411901,-0.9466245265087846,0.5554165639669655,-0.16382389095216385,-0.18305646309327034,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.020190708311925
39,56ee27ad65ca4d000cc39dd3,grandma,1,5,2,ta,right,1_5,4779,18,360,39,asking,0,70,147.29848706238238,2,12.879789420209447,2.193323579779914,4.193323579779914,-0.5548809991260342,1.4451190008739658,0.5828516489025767,101.03846419009899,0.6792779651361961,11.038464190098983,0.6498257633795977,1.5469611905146097,2.0028925022967075,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,5.886104031450156
40,56ee27ad65ca4d000cc39dd3,broadway,3,5,2,ta,right,3_5,3497,24,276,40,asking,0,90,147.29848706238238,1.4451190008739658,8.528948467592945,2.7482045789059484,4.193323579779914,0,1.4451190008739658,0.5452828841734096,113.31691966483604,0.8366795175838972,23.316919664836043,0.8230760183747501,3.805152616960049,3.9883966020137223,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,5.62040086571715
41,56ee27ad65ca4d000cc39dd3,bronville,5,4,2,ta,right,5_4,4480,58,1201,41,asking,0,110,124.05699442806409,0.3553996106387345,2.0819946482570297,3.2754239691411797,3.630823579779914,0.5272193902352313,0.8826190008739658,0.5632704662953878,113.54057054190419,0.65746044778245,23.540570541904177,0.6472392905560824,4.0546991905620215,4.022531876857185,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.0909098220799835
42,56ee27ad65ca4d000cc39dd3,greenview,5,3,2,ta,left,5_3,3515,56,700,42,telling,1,110,102.02442198493041,-0.2071003893612655,-1.3030678399057682,3.2754239691411797,3.068323579779914,0.5272193902352313,0.32011900087396583,0.5054213546006661,103.25887936925916,0.5455752976414681,13.258879369259173,0.5441005045993718,2.3936133540437567,2.379227276422125,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.551080335043404
43,56ee27ad65ca4d000cc39dd3,grandma,2,2,2,ta,left,2_2,3686,8,279,43,telling,1,80,81.1346582583131,0.03142632932198097,0.24381985859143213,2.4743972504579332,2.505823579779914,-0.27380732844801514,-0.24238099912603417,0.5259896274383788,81.12547174254053,0.6071963977565866,-8.874528257459458,0.6111840738039607,-1.7629273659938538,-1.797240468857158,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,5.631211781821365
44,56ee27ad65ca4d000cc39dd3,branning,4,3,2,ta,right,4_3,4627,36,1758,44,asking,0,100,102.02442198493041,0.05322064574961871,0.34697444509345005,3.0151029340302955,3.068323579779914,0.2668983551243471,0.32011900087396583,0.5074557777750377,100.06948161689611,0.5854884913251319,10.069481616896097,0.58179692782714,1.8502010498406374,1.836061838435741,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.471932078245122
45,56ee27ad65ca4d000cc39dd3,broadway,4,5,2,ta,right,4_5,3407,22,207,45,asking,0,100,147.29848706238238,1.1782206457496187,6.704911346252346,3.0151029340302955,4.193323579779914,0.2668983551243471,1.4451190008739658,0.5409942560759174,118.91791260100506,0.7263319313002559,28.917912601005057,0.7064199244276229,4.718923972580411,4.823629656007368,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,5.332718793265369
46,56ee27ad65ca4d000cc39dd3,greenview,3,2,2,ta,left,3_2,3611,56,424,46,telling,1,90,81.1346582583131,-0.24238099912603417,-1.7952801587163143,2.7482045789059484,2.505823579779914,0,-0.24238099912603417,0.5043140187609687,84.44138702300019,0.8018783803747683,-5.558612976999807,0.8002838857475117,-1.1023384304346593,-1.1036967005474543,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.049733455231958
47,56ee27ad65ca4d000cc39dd3,broadway,3,1,2,ta,left,3_1,4427,76,774,47,telling,1,90,61.325523908511215,-0.8048809991260342,-6.641248170669213,2.7482045789059484,1.9433235797799142,0,-0.8048809991260342,0.45487063248858495,70.96372416592068,0.7932206527888032,-19.036275834079326,0.7925433747115013,-4.306835313448664,-4.114119328688515,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.651571873589727
48,56ee27ad65ca4d000cc39dd3,branning,5,2,2,ta,left,5_2,4648,32,933,48,telling,1,110,81.1346582583131,-0.7696003893612655,-5.269359565056132,3.2754239691411797,2.505823579779914,0.5272193902352313,-0.24238099912603417,0.4759744146723428,89.73576900608967,0.4812119977687169,-0.2642309939103431,0.4906219038130924,-0.15788854867926017,-0.050902057565158226,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.838405200847344
49,56ee27ad65ca4d000cc39dd3,bronville,4,4,2,ta,right,4_4,4531,66,522,49,asking,0,100,124.05699442806409,0.6157206457496187,3.7320369332562473,3.0151029340302955,3.630823579779914,0.2668983551243471,0.8826190008739658,0.5659374731668196,108.19254188938038,0.716086207774037,18.192541889380387,0.7022009443474209,3.1927027527111966,3.1872497490194736,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.257667587882639
50,56ee27ad65ca4d000cc39dd3,grandma,1,1,2,ta,left,1_1,3892,42,644,50,telling,1,70,61.325523908511215,-0.25,-2.2904072180527137,2.193323579779914,1.9433235797799142,-0.5548809991260342,-0.8048809991260342,0.5003256421996006,66.08186566178276,0.6504469237062036,-23.91813433821724,0.662354982118585,-5.392374997401367,-5.348046997223119,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.467698726104354
51,56ee27ad65ca4d000cc39dd3,broadway,4,4,3,ta,right,4_4,3527,70,672,51,asking,0,100,124.05699442806409,0.6157206457496187,3.7320369332562473,3.0151029340302955,3.630823579779914,0.2668983551243471,0.8826190008739658,0.5248266534402666,109.3201838653713,0.6827475411300568,19.320183865371312,0.6680281022709764,3.3707802938484033,3.366754618636699,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.5102583405231496
52,56ee27ad65ca4d000cc39dd3,grandma,3,1,3,ta,left,3_1,4793,52,823,52,telling,1,90,61.325523908511215,-0.8048809991260342,-6.641248170669213,2.7482045789059484,1.9433235797799142,0,-0.8048809991260342,0.4823050514407798,72.41786188341986,0.8153900070738601,-17.58213811658014,0.8166252058023822,-3.9973929973855546,-3.7629530298755736,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.71295620067707
53,56ee27ad65ca4d000cc39dd3,bronville,3,2,3,ta,left,3_2,3683,24,425,53,telling,1,90,81.1346582583131,-0.24238099912603417,-1.7952801587163143,2.7482045789059484,2.505823579779914,0,-0.24238099912603417,0.5226894825913518,84.43847914992456,0.8058438241884144,-5.561520850075452,0.7941340494681073,-1.058902852272906,-1.1042928887128616,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.052089168924417
54,56ee27ad65ca4d000cc39dd3,branning,1,1,3,ta,left,1_1,3072,44,827,54,telling,1,70,61.325523908511215,-0.25,-2.2904072180527137,2.193323579779914,1.9433235797799142,-0.5548809991260342,-0.8048809991260342,0.46599810933076813,65.60972011429874,0.6221051948310614,-24.390279885701258,0.6345965632345725,-5.529782664471445,-5.472185216893219,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.717804695023691
